id,name,chain,volume,market_cap,floor_price,avg_price,sales,assets,owners
104,Kitty Crypto Gang,Ethereum,"5,991.43 ETH","1,400.06 ETH",0.185 ETH,0.5485 ETH,,"7,873","1,326"
105,Space Punks,Ethereum,"5,974.92 ETH",815.73 ETH,0.068 ETH,0.4266 ETH,,"9,995","4,383"
106,WVRPS by Warpsound,Ethereum,"5,839.28 ETH","3,038.79 ETH",0.285 ETH,0.4077 ETH,,"9,999","4,777"
107,Gooniez Gang,Ethereum,"5,743.04 ETH",850.33 ETH,0.0999 ETH,0.3405 ETH,,"8,888","5,611"
108,DeHorizon Christmas Carnival,BSC,"17,709,187.21 BUSD","270,556.49 BUSD",14.29 BUSD,"1,825.88 BUSD",,"5,380","1,576"
109,Loser Club,Ethereum,"5,442.09 ETH","2,547.51 ETH",0.222 ETH,0.2798 ETH,,"10,000","5,393"
110,Incognito,Ethereum,"5,413.42 ETH",319.48 ETH,0.023 ETH,0.3186 ETH,,"10,000","3,237"
111,Lonely Alien Space Club,Ethereum,"5,377.55 ETH",575.25 ETH,0.03 ETH,0.326 ETH,,"10,001","4,018"
112,Acrocalypse,Ethereum,"5,345.16 ETH","8,336.37 ETH",0.75 ETH,0.4055 ETH,,"10,419","3,597"
113,DeadHeads,Ethereum,"5,286.38 ETH","1,994.71 ETH",0.14 ETH,0.3342 ETH,,"10,000","2,845"
114,Gutter Dogs,Ethereum,"5,273.7 ETH","6,254.43 ETH",1.75 ETH,1.7685 ETH,,"2,938","2,013"
115,Superlative Secret Society,Ethereum,"4,977.66 ETH",739.86 ETH,0.06 ETH,0.2442 ETH,,"11,110","6,014"
116,Party Degenerates,Ethereum,"4,959.99 ETH","2,296.57 ETH",0.249 ETH,0.5778 ETH,,"9,999","3,571"
117,Alpha Kongs Club,Ethereum,"4,928.61 ETH","6,434.48 ETH",0.8 ETH,0.433 ETH,,"8,888","1,622"
118,Bulls On The Block,Ethereum,"4,852.55 ETH",768.91 ETH,0.07 ETH,0.312 ETH,,"10,000","1,581"
119,Poison Mystery Box,BSC,"15,279,559.87 BUSD","233,468.29 BUSD",7.69 BUSD,"1,489.09 BUSD",,"15,000","2,259"
120,Thingdoms,Ethereum,"4,761.32 ETH","1,551.77 ETH",0.129 ETH,0.2638 ETH,,"10,000","4,639"
121,Women and Weapons,Ethereum,"4,632.95 ETH","2,337.14 ETH",0.261 ETH,0.2611 ETH,,"10,000","5,762"
122,Dracoo Master Mystery Box,BSC,"14,783,662.44 BUSD","1,165,888.39 BUSD",620 BUSD,"4,471.77 BUSD",,"2,000",151
123,Dented Feels,Ethereum,"4,488.09 ETH","2,131.5 ETH",0.165 ETH,0.2578 ETH,,"11,111","5,670"
124,The Wanderers,Ethereum,"4,474.57 ETH","1,260.81 ETH",0.129 ETH,0.3151 ETH,,"8,887","4,260"
125,Undead Pastel Club,Ethereum,"4,428.47 ETH",463.32 ETH,0.0299 ETH,0.3105 ETH,,"9,999","6,128"
126,Pop Art Cats,Ethereum,"4,392.97 ETH","1,082.03 ETH",0.099 ETH,0.2579 ETH,,"10,000","4,832"
101,HeadDAO,Ethereum,"6,098.47 ETH",658.65 ETH,0.08 ETH,0.3348 ETH,,"10,000","1,076"
102,Fang Gang,Ethereum,"6,074.24 ETH","1,391.72 ETH",0.13 ETH,0.292 ETH,,"8,888","4,373"
103,Gray Boys,Ethereum,"6,014.49 ETH","9,983.57 ETH",0.86 ETH,0.6075 ETH,,"10,000","3,411"
104,Kitty Crypto Gang,Ethereum,"5,991.43 ETH","1,400.06 ETH",0.185 ETH,0.5485 ETH,,"7,873","1,326"
105,Space Punks,Ethereum,"5,974.92 ETH",815.73 ETH,0.068 ETH,0.4266 ETH,,"9,995","4,383"
106,WVRPS by Warpsound,Ethereum,"5,839.28 ETH","3,038.79 ETH",0.285 ETH,0.4077 ETH,,"9,999","4,777"
107,Gooniez Gang,Ethereum,"5,743.04 ETH",850.33 ETH,0.0999 ETH,0.3405 ETH,,"8,888","5,611"
108,DeHorizon Christmas Carnival,BSC,"17,709,187.21 BUSD","270,556.49 BUSD",14.29 BUSD,"1,825.88 BUSD",,"5,380","1,576"
109,Loser Club,Ethereum,"5,442.09 ETH","2,547.51 ETH",0.222 ETH,0.2798 ETH,,"10,000","5,393"
110,Incognito,Ethereum,"5,413.42 ETH",319.48 ETH,0.023 ETH,0.3186 ETH,,"10,000","3,237"
111,Lonely Alien Space Club,Ethereum,"5,377.55 ETH",575.25 ETH,0.03 ETH,0.326 ETH,,"10,001","4,018"
112,Acrocalypse,Ethereum,"5,345.16 ETH","8,336.37 ETH",0.75 ETH,0.4055 ETH,,"10,419","3,597"
113,DeadHeads,Ethereum,"5,286.38 ETH","1,994.71 ETH",0.14 ETH,0.3342 ETH,,"10,000","2,845"
114,Gutter Dogs,Ethereum,"5,273.7 ETH","6,254.43 ETH",1.75 ETH,1.7685 ETH,,"2,938","2,013"
115,Superlative Secret Society,Ethereum,"4,977.66 ETH",739.86 ETH,0.06 ETH,0.2442 ETH,,"11,110","6,014"
116,Party Degenerates,Ethereum,"4,959.99 ETH","2,296.57 ETH",0.249 ETH,0.5778 ETH,,"9,999","3,571"
117,Alpha Kongs Club,Ethereum,"4,928.61 ETH","6,434.48 ETH",0.8 ETH,0.433 ETH,,"8,888","1,622"
118,Bulls On The Block,Ethereum,"4,852.55 ETH",768.91 ETH,0.07 ETH,0.312 ETH,,"10,000","1,581"
119,Poison Mystery Box,BSC,"15,279,559.87 BUSD","233,468.29 BUSD",7.69 BUSD,"1,489.09 BUSD",,"15,000","2,259"
120,Thingdoms,Ethereum,"4,761.32 ETH","1,551.77 ETH",0.129 ETH,0.2638 ETH,,"10,000","4,639"
121,Women and Weapons,Ethereum,"4,632.95 ETH","2,337.14 ETH",0.261 ETH,0.2611 ETH,,"10,000","5,762"
122,Dracoo Master Mystery Box,BSC,"14,783,662.44 BUSD","1,165,888.39 BUSD",620 BUSD,"4,471.77 BUSD",,"2,000",151
123,Dented Feels,Ethereum,"4,488.09 ETH","2,131.5 ETH",0.165 ETH,0.2578 ETH,,"11,111","5,670"
124,The Wanderers,Ethereum,"4,474.57 ETH","1,260.81 ETH",0.129 ETH,0.3151 ETH,,"8,887","4,260"
125,Undead Pastel Club,Ethereum,"4,428.47 ETH",463.32 ETH,0.0299 ETH,0.3105 ETH,,"9,999","6,128"
126,Pop Art Cats,Ethereum,"4,392.97 ETH","1,082.03 ETH",0.099 ETH,0.2579 ETH,,"10,000","4,832"
201,Woodies,Ethereum,"2,612.67 ETH","2,397.75 ETH",0.178 ETH,0.4375 ETH,,"9,739","3,866"
202,TOKYO PUNKS by SABET,Ethereum,991 ETH,389.73 ETH,0.093 ETH,0.2165 ETH,,"4,850","2,780"
203,Boonji Project,Ethereum,"6,602.9 ETH","2,028.17 ETH",0.1386 ETH,0.4531 ETH,,"11,111","5,048"
204,Wandernauts,Ethereum,142.26 ETH,621.97 ETH,0.057 ETH,0.1033 ETH,,"8,070","2,999"
205,SOLgods,Solana,"1,880.36 SOL",105 SOL,66 SOL,2.7134 SOL,,3,3
206,Council of Kingz,Ethereum,963.21 ETH,"1,060.15 ETH",0.195 ETH,0.2473 ETH,,"5,277","1,509"
207,GB Gregory Mystery Box ,BSC,"881,272.58 BUSD","1,992,977.7 BUSD",116 BUSD,210.18 BUSD,,"10,000","2,815"
208,Colonists,Ethereum,785.01 ETH,"2,304.1 ETH",0.049 ETH,0.06683 ETH,,"25,000","5,619"
209,Thingdoms,Ethereum,"4,761.32 ETH","1,551.77 ETH",0.129 ETH,0.2638 ETH,,"10,000","4,639"
210,Women Tribe,Ethereum,"2,469.42 ETH",785.96 ETH,0.07 ETH,0.2821 ETH,,"10,000","5,306"
201,Yung Ape Squad,Ethereum,"2,266.9 ETH",256.49 ETH,0.02 ETH,0.1879 ETH,,"6,643","3,032"
202,TronWars,Ethereum,"2,217.27 ETH","1,022.72 ETH",0.066 ETH,0.2531 ETH,,"8,888","4,788"
203,Feline Fiendz,Ethereum,"2,212.01 ETH","2,434.47 ETH",0.208 ETH,0.1438 ETH,,"7,777","3,976"
204,BRAiN VOMiTS GARDEN,Ethereum,"2,179.28 ETH",967.93 ETH,0.1999 ETH,0.2649 ETH,,"4,444","2,267"
205,JunkYardDogs,Ethereum,"2,160.72 ETH",386.03 ETH,0.038 ETH,0.2126 ETH,,"7,977","3,423"
206,Sympathy For The Devils,Ethereum,"2,150.66 ETH",155.63 ETH,0.028 ETH,0.2597 ETH,,"5,764","1,996"
207,Peacefall,Ethereum,"2,141.83 ETH","1,612.13 ETH",0.195 ETH,0.2294 ETH,,"8,192","2,708"
208,Crypto Pills,Ethereum,"2,138.9 ETH",983.42 ETH,0.0699 ETH,0.2767 ETH,,"10,000","2,218"
209,Trippy Toadz,Ethereum,"2,131.51 ETH","1,563.94 ETH",0.169 ETH,0.1522 ETH,,"6,969","3,602"
210,SKULLTOONS,Ethereum,"2,116.57 ETH",778.71 ETH,0.055 ETH,0.213 ETH,,"7,777","4,773"
201,Yung Ape Squad,Ethereum,"2,266.9 ETH",256.49 ETH,0.02 ETH,0.1879 ETH,,"6,643","3,032"
202,TronWars,Ethereum,"2,217.27 ETH","1,022.72 ETH",0.066 ETH,0.2531 ETH,,"8,888","4,788"
203,Feline Fiendz,Ethereum,"2,212.01 ETH","2,434.47 ETH",0.208 ETH,0.1438 ETH,,"7,777","3,976"
204,BRAiN VOMiTS GARDEN,Ethereum,"2,179.28 ETH",967.93 ETH,0.1999 ETH,0.2649 ETH,,"4,444","2,267"
205,JunkYardDogs,Ethereum,"2,160.72 ETH",386.03 ETH,0.038 ETH,0.2126 ETH,,"7,977","3,423"
206,Sympathy For The Devils,Ethereum,"2,150.66 ETH",155.63 ETH,0.028 ETH,0.2597 ETH,,"5,764","1,996"
207,Peacefall,Ethereum,"2,141.83 ETH","1,612.13 ETH",0.195 ETH,0.2294 ETH,,"8,192","2,708"
208,Crypto Pills,Ethereum,"2,138.9 ETH",983.42 ETH,0.0699 ETH,0.2767 ETH,,"10,000","2,218"
209,Trippy Toadz,Ethereum,"2,131.51 ETH","1,563.94 ETH",0.169 ETH,0.1522 ETH,,"6,969","3,602"
210,SKULLTOONS,Ethereum,"2,116.57 ETH",778.71 ETH,0.055 ETH,0.213 ETH,,"7,777","4,773"
211,Cereal Club,Ethereum,"2,111.25 ETH",972.94 ETH,0.0755 ETH,0.1912 ETH,,"9,955","3,948"
212,Villagers of XOLO,Ethereum,"2,058.46 ETH","1,752.54 ETH",0.088 ETH,0.1771 ETH,,"13,255","4,922"
213,ALPACADABRAZ 3D,Ethereum,"2,052.21 ETH","2,779.82 ETH",0.1127 ETH,0.3239 ETH,,"19,969","7,841"
214,Satoshi Runners,Ethereum,"2,051.11 ETH","1,074.35 ETH",0.138 ETH,0.1816 ETH,,"7,777","1,150"
215,Notorious Frogs,Ethereum,"2,026.4 ETH","4,828.01 ETH",0.4 ETH,0.2445 ETH,,"10,000","2,747"
216,Blockchain Miners Club,Ethereum,"2,025.15 ETH",533.04 ETH,0.21 ETH,0.2722 ETH,,"2,221","1,486"
217,Bubblegum Kids,Ethereum,"2,018.12 ETH","1,165.66 ETH",0.075 ETH,0.1627 ETH,,"10,000","3,568"
218,THE SECRET SOCIETY XX,Ethereum,"2,017.88 ETH",154.79 ETH,0.01 ETH,0.418 ETH,,"6,666","2,713"
219,Small Bros,Ethereum,"2,006.38 ETH",484.97 ETH,0.042 ETH,0.1624 ETH,,"8,888","5,715"
220,Chibi Dinos,Ethereum,"1,996.27 ETH","1,313.01 ETH",0.125 ETH,0.1309 ETH,,"10,000","3,197"
221,basis.markets,Solana,"57,564.46 SOL",0 SOL,80 SOL,72.41 SOL,,4,1
222,Super Ordinary Villains,Ethereum,"1,985.78 ETH",493.28 ETH,0.05 ETH,0.1385 ETH,,"8,888","4,641"
223,Fly Frogs,Ethereum,"1,981.94 ETH",192.23 ETH,0.018 ETH,0.1523 ETH,,"9,999","3,920"
224,Cosmic Cats,Ethereum,"1,977.22 ETH","1,019.61 ETH",0.0949 ETH,0.1374 ETH,,"8,888","4,356"
225,Women of Crypto,Ethereum,"1,961.29 ETH",334 ETH,0.025 ETH,0.2267 ETH,,"8,888","5,047"
226,Borpacasso,Ethereum,"1,943.38 ETH",60.75 ETH,0.03 ETH,0.4527 ETH,,"2,250","1,138"
227,FusionApe,Ethereum,"1,933.47 ETH",99.98 ETH,0.038 ETH,0.3607 ETH,,"4,201","1,696"
228,Shadow Quest,Ethereum,"1,931.46 ETH",897.61 ETH,0.015 ETH,0.2166 ETH,,"15,672",916
229,Guardians of the Metaverse,Ethereum,"1,906.46 ETH",762.24 ETH,0.054 ETH,0.1706 ETH,,"10,000","4,097"
230,Evaverse First Arrivals,Ethereum,"1,900.14 ETH","3,474.91 ETH",0.26 ETH,0.2531 ETH,,"10,000","2,986"
231,Video Game Dev Squad,Ethereum,"1,862.06 ETH","1,326.58 ETH",0.22 ETH,0.3156 ETH,,"5,555","1,744"
232,Diamond Pandora Package,BSC,"5,969,821.15 BUSD",--,"2,588 BUSD","40,611.03 BUSD",,50,10
233,Weird Whales,Ethereum,"1,850.19 ETH",497.95 ETH,0.13 ETH,0.2378 ETH,,"3,350","1,662"
234,Satoshibles,Ethereum,"1,848.2 ETH",959.23 ETH,0.139 ETH,0.2709 ETH,,"5,000","1,465"
235,Cosmodinos Omega,Ethereum,"1,810.42 ETH","1,078.62 ETH",0.09499 ETH,0.1137 ETH,,"8,888","4,445"
236,COVIDPunks,Ethereum,"1,806.41 ETH",159 ETH,0.01 ETH,0.1713 ETH,,"10,000","3,857"
237,Tools of Rock,Ethereum,"1,806.3 ETH",331.54 ETH,0.03 ETH,0.2485 ETH,,"7,376","2,235"
238,Top Dog Beach Club,Ethereum,"1,805.76 ETH",806.73 ETH,0.078 ETH,0.1907 ETH,,"7,997","2,933"
239,Apes In Space,Ethereum,"1,801.69 ETH",375.11 ETH,0.03 ETH,0.2636 ETH,,"9,999","6,548"
240,LONDON Gift,Ethereum,"1,791.05 ETH",287.38 ETH,0.045 ETH,0.247 ETH,,"8,888","2,744"
241,Avarik Saga,Ethereum,"1,775.61 ETH","1,648.36 ETH",0.1195 ETH,0.145 ETH,,"8,888","2,477"
242,Ninja Squad,Ethereum,"1,763.64 ETH","3,685.2 ETH",0.319 ETH,0.1979 ETH,,"8,888","3,185"
243,Weather Report,Ethereum,"1,749.52 ETH",839.25 ETH,0.068 ETH,0.1891 ETH,,"9,999","4,717"
201,Yung Ape Squad,Ethereum,"2,266.9 ETH",256.49 ETH,0.02 ETH,0.1879 ETH,,"6,643","3,032"
202,TronWars,Ethereum,"2,217.27 ETH","1,022.72 ETH",0.066 ETH,0.2531 ETH,,"8,888","4,788"
203,Feline Fiendz,Ethereum,"2,212.01 ETH","2,434.47 ETH",0.208 ETH,0.1438 ETH,,"7,777","3,976"
204,BRAiN VOMiTS GARDEN,Ethereum,"2,179.28 ETH",967.93 ETH,0.1999 ETH,0.2649 ETH,,"4,444","2,267"
205,JunkYardDogs,Ethereum,"2,160.72 ETH",386.03 ETH,0.038 ETH,0.2126 ETH,,"7,977","3,423"
206,Sympathy For The Devils,Ethereum,"2,150.66 ETH",155.63 ETH,0.028 ETH,0.2597 ETH,,"5,764","1,996"
207,Peacefall,Ethereum,"2,141.83 ETH","1,612.13 ETH",0.195 ETH,0.2294 ETH,,"8,192","2,708"
208,Crypto Pills,Ethereum,"2,138.9 ETH",983.42 ETH,0.0699 ETH,0.2767 ETH,,"10,000","2,218"
209,Trippy Toadz,Ethereum,"2,131.51 ETH","1,563.94 ETH",0.169 ETH,0.1522 ETH,,"6,969","3,602"
210,SKULLTOONS,Ethereum,"2,116.57 ETH",778.71 ETH,0.055 ETH,0.213 ETH,,"7,777","4,773"
211,Cereal Club,Ethereum,"2,111.25 ETH",972.94 ETH,0.0755 ETH,0.1912 ETH,,"9,955","3,948"
212,Villagers of XOLO,Ethereum,"2,058.46 ETH","1,752.54 ETH",0.088 ETH,0.1771 ETH,,"13,255","4,922"
213,ALPACADABRAZ 3D,Ethereum,"2,052.21 ETH","2,779.82 ETH",0.1127 ETH,0.3239 ETH,,"19,969","7,841"
214,Satoshi Runners,Ethereum,"2,051.11 ETH","1,074.35 ETH",0.138 ETH,0.1816 ETH,,"7,777","1,150"
215,Notorious Frogs,Ethereum,"2,026.4 ETH","4,828.01 ETH",0.4 ETH,0.2445 ETH,,"10,000","2,747"
216,Blockchain Miners Club,Ethereum,"2,025.15 ETH",533.04 ETH,0.21 ETH,0.2722 ETH,,"2,221","1,486"
217,Bubblegum Kids,Ethereum,"2,018.12 ETH","1,165.66 ETH",0.075 ETH,0.1627 ETH,,"10,000","3,568"
218,THE SECRET SOCIETY XX,Ethereum,"2,017.88 ETH",154.79 ETH,0.01 ETH,0.418 ETH,,"6,666","2,713"
219,Small Bros,Ethereum,"2,006.38 ETH",484.97 ETH,0.042 ETH,0.1624 ETH,,"8,888","5,715"
220,Chibi Dinos,Ethereum,"1,996.27 ETH","1,313.01 ETH",0.125 ETH,0.1309 ETH,,"10,000","3,197"
221,basis.markets,Solana,"57,564.46 SOL",0 SOL,80 SOL,72.41 SOL,,4,1
222,Super Ordinary Villains,Ethereum,"1,985.78 ETH",493.28 ETH,0.05 ETH,0.1385 ETH,,"8,888","4,641"
223,Fly Frogs,Ethereum,"1,981.94 ETH",192.23 ETH,0.018 ETH,0.1523 ETH,,"9,999","3,920"
224,Cosmic Cats,Ethereum,"1,977.22 ETH","1,019.61 ETH",0.0949 ETH,0.1374 ETH,,"8,888","4,356"
225,Women of Crypto,Ethereum,"1,961.29 ETH",334 ETH,0.025 ETH,0.2267 ETH,,"8,888","5,047"
226,Borpacasso,Ethereum,"1,943.38 ETH",60.75 ETH,0.03 ETH,0.4527 ETH,,"2,250","1,138"
227,FusionApe,Ethereum,"1,933.47 ETH",99.98 ETH,0.038 ETH,0.3607 ETH,,"4,201","1,696"
228,Shadow Quest,Ethereum,"1,931.46 ETH",897.61 ETH,0.015 ETH,0.2166 ETH,,"15,672",916
229,Guardians of the Metaverse,Ethereum,"1,906.46 ETH",762.24 ETH,0.054 ETH,0.1706 ETH,,"10,000","4,097"
230,Evaverse First Arrivals,Ethereum,"1,900.14 ETH","3,474.91 ETH",0.26 ETH,0.2531 ETH,,"10,000","2,986"
231,Video Game Dev Squad,Ethereum,"1,862.06 ETH","1,326.58 ETH",0.22 ETH,0.3156 ETH,,"5,555","1,744"
232,Diamond Pandora Package,BSC,"5,969,821.15 BUSD",--,"2,588 BUSD","40,611.03 BUSD",,50,10
233,Weird Whales,Ethereum,"1,850.19 ETH",497.95 ETH,0.13 ETH,0.2378 ETH,,"3,350","1,662"
234,Satoshibles,Ethereum,"1,848.2 ETH",959.23 ETH,0.139 ETH,0.2709 ETH,,"5,000","1,465"
235,Cosmodinos Omega,Ethereum,"1,810.42 ETH","1,078.62 ETH",0.09499 ETH,0.1137 ETH,,"8,888","4,445"
236,COVIDPunks,Ethereum,"1,806.41 ETH",159 ETH,0.01 ETH,0.1713 ETH,,"10,000","3,857"
237,Tools of Rock,Ethereum,"1,806.3 ETH",331.54 ETH,0.03 ETH,0.2485 ETH,,"7,376","2,235"
238,Top Dog Beach Club,Ethereum,"1,805.76 ETH",806.73 ETH,0.078 ETH,0.1907 ETH,,"7,997","2,933"
239,Apes In Space,Ethereum,"1,801.69 ETH",375.11 ETH,0.03 ETH,0.2636 ETH,,"9,999","6,548"
240,LONDON Gift,Ethereum,"1,791.05 ETH",287.38 ETH,0.045 ETH,0.247 ETH,,"8,888","2,744"
241,Avarik Saga,Ethereum,"1,775.61 ETH","1,648.36 ETH",0.1195 ETH,0.145 ETH,,"8,888","2,477"
242,Ninja Squad,Ethereum,"1,763.64 ETH","3,685.2 ETH",0.319 ETH,0.1979 ETH,,"8,888","3,185"
243,Weather Report,Ethereum,"1,749.52 ETH",839.25 ETH,0.068 ETH,0.1891 ETH,,"9,999","4,717"
244,Alpha Shark,Ethereum,"1,722.35 ETH","1,215 ETH",2.9488 ETH,7.2367 ETH,,450,430
245,Notorious Alien Space Agents,Ethereum,"1,713.3 ETH",579.48 ETH,0.058 ETH,0.3057 ETH,,"5,555",523
246,Private Jet Pyjama Party,Ethereum,"1,701.37 ETH","4,696.94 ETH",0.739 ETH,0.61 ETH,,"5,267","2,289"
247,Genesis Bloodshed Bears,Ethereum,"1,692.57 ETH",282.88 ETH,0.037 ETH,0.2417 ETH,,"7,000","1,323"
248,Non-Fungible People,Ethereum,"1,691.85 ETH",701.97 ETH,0.06 ETH,0.2869 ETH,,"8,888","3,301"
249,DinoBabies,Ethereum,"1,690.22 ETH",272.75 ETH,0.0475 ETH,0.1496 ETH,,"5,500","2,112"
250,Rubber Duck Bath Party,Ethereum,"1,676.08 ETH",601.55 ETH,0.0579 ETH,0.169 ETH,,"10,000","5,743"
251,ApeDads,Ethereum,"1,667.75 ETH",406.92 ETH,0.085 ETH,0.2151 ETH,,"4,000","2,197"
252,Wall Street Bulls,Ethereum,"1,666.93 ETH","1,523.79 ETH",0.1349 ETH,0.2398 ETH,,"10,000","3,675"
253,Chibi Apes,Ethereum,"1,630.96 ETH",461.63 ETH,0.123 ETH,0.2682 ETH,,"3,000","1,863"
254,Cyber Gorillas,Ethereum,"1,600.1 ETH","1,372.26 ETH",0.47 ETH,0.2249 ETH,,"3,320",314
255,NeckVille,Ethereum,"1,587.69 ETH",243.64 ETH,0.055 ETH,0.1991 ETH,,"5,555","2,548"
256,The Lost Glitches,Ethereum,"1,565.95 ETH",151.31 ETH,0.0199 ETH,0.2021 ETH,,"9,999","2,919"
257,Dark Super Bunnies,Ethereum,"1,564.05 ETH",64.59 ETH,0.01 ETH,0.3062 ETH,,"4,394","1,740"
258,Cosmic Wyverns,Ethereum,"1,558.47 ETH",31.5 ETH,0.006 ETH,0.3721 ETH,,"3,500","1,843"
259,Mad Rabbits Riot Club,Ethereum,"1,556.91 ETH","2,542.97 ETH",0.098 ETH,0.1969 ETH,,"7,500","2,422"
260,THE PLUTO ALLIANCE,Ethereum,"1,550.87 ETH","1,771.37 ETH",0.08 ETH,0.2201 ETH,,"10,000","3,437"
261,Meka Ape Club,Ethereum,"1,545.52 ETH",483.38 ETH,0.0679 ETH,0.2363 ETH,,"5,640","2,282"
262,The Nudie Community,Ethereum,"1,542.61 ETH",437.51 ETH,0.035 ETH,0.1378 ETH,,"10,000","4,832"
263,Sand Vegas Casino Club,Ethereum,"1,535.03 ETH","3,473.63 ETH",0.299 ETH,0.2602 ETH,,"11,111","4,210"
264,Mandelbrot Set Collection,Ethereum,"1,533.52 ETH",59.54 ETH,0.015 ETH,0.5752 ETH,,"1,978",935
265,Loopy Donuts,Ethereum,"1,522.83 ETH",113.16 ETH,0.01 ETH,0.1297 ETH,,"10,000","3,856"
266,Dope Shibas,Ethereum,"1,520.58 ETH",118.27 ETH,0.01 ETH,0.1278 ETH,,"9,899","4,028"
267,the sunnies,Ethereum,"1,493.33 ETH",816.78 ETH,0.078 ETH,0.1042 ETH,,"9,140","4,775"
268,MetaRim,BSC,"4,774,351.4 BUSD","879,912 BUSD",75 BUSD,"1,251.14 BUSD",,"8,888",216
269,cMyKatz,Ethereum,"1,486.6 ETH",0 ETH,0.0085 ETH,0.3676 ETH,,"10,000",491
270,AlphaBetty Doodles,Ethereum,"1,485.28 ETH",182.31 ETH,0.017 ETH,0.1199 ETH,,"10,000","3,533"
271,DeRace,BSC,"4,765,382.11 BUSD","2,980,500 BUSD","1,199 BUSD","3,211.17 BUSD",,"1,987",186
272,The Moon Boyz,Ethereum,"1,480.21 ETH",541.36 ETH,0.033 ETH,0.1831 ETH,,"11,110","3,633"
273,Great Ape Society,Ethereum,"1,474.17 ETH",456.82 ETH,0.035 ETH,0.1201 ETH,,"10,000","4,553"
274,Secret Society of Whales,Ethereum,"1,459.5 ETH",739.64 ETH,0.04 ETH,0.1371 ETH,,"10,000","3,895"
275,Dogs Unchained,Ethereum,"1,448.07 ETH",160.93 ETH,0.015 ETH,0.2693 ETH,,"5,901","2,190"
276,Cryptoshack Club,Ethereum,"1,438.26 ETH","1,596.67 ETH",0.186 ETH,0.2137 ETH,,"5,855",600
277,CryptoBots,Ethereum,"1,437.4 ETH","1,872 ETH",0.08 ETH,0.1513 ETH,,"9,984","2,251"
278,Enigma Economy,Ethereum,"1,431.2 ETH","2,637.24 ETH",0.3 ETH,0.2517 ETH,,"8,010",273
201,Yung Ape Squad,Ethereum,"2,266.9 ETH",256.49 ETH,0.02 ETH,0.1879 ETH,,"6,643","3,032"
202,TronWars,Ethereum,"2,217.27 ETH","1,022.72 ETH",0.066 ETH,0.2531 ETH,,"8,888","4,788"
203,Feline Fiendz,Ethereum,"2,212.01 ETH","2,434.47 ETH",0.208 ETH,0.1438 ETH,,"7,777","3,976"
204,BRAiN VOMiTS GARDEN,Ethereum,"2,179.28 ETH",967.93 ETH,0.1999 ETH,0.2649 ETH,,"4,444","2,267"
205,JunkYardDogs,Ethereum,"2,160.72 ETH",386.03 ETH,0.038 ETH,0.2126 ETH,,"7,977","3,423"
206,Sympathy For The Devils,Ethereum,"2,150.66 ETH",155.63 ETH,0.028 ETH,0.2597 ETH,,"5,764","1,996"
207,Peacefall,Ethereum,"2,141.83 ETH","1,612.13 ETH",0.195 ETH,0.2294 ETH,,"8,192","2,708"
208,Crypto Pills,Ethereum,"2,138.9 ETH",983.42 ETH,0.0699 ETH,0.2767 ETH,,"10,000","2,218"
209,Trippy Toadz,Ethereum,"2,131.51 ETH","1,563.94 ETH",0.169 ETH,0.1522 ETH,,"6,969","3,602"
210,SKULLTOONS,Ethereum,"2,116.57 ETH",778.71 ETH,0.055 ETH,0.213 ETH,,"7,777","4,773"
211,Cereal Club,Ethereum,"2,111.25 ETH",972.94 ETH,0.0755 ETH,0.1912 ETH,,"9,955","3,948"
212,Villagers of XOLO,Ethereum,"2,058.46 ETH","1,752.54 ETH",0.088 ETH,0.1771 ETH,,"13,255","4,922"
213,ALPACADABRAZ 3D,Ethereum,"2,052.21 ETH","2,779.82 ETH",0.1127 ETH,0.3239 ETH,,"19,969","7,841"
214,Satoshi Runners,Ethereum,"2,051.11 ETH","1,074.35 ETH",0.138 ETH,0.1816 ETH,,"7,777","1,150"
215,Notorious Frogs,Ethereum,"2,026.4 ETH","4,828.01 ETH",0.4 ETH,0.2445 ETH,,"10,000","2,747"
216,Blockchain Miners Club,Ethereum,"2,025.15 ETH",533.04 ETH,0.21 ETH,0.2722 ETH,,"2,221","1,486"
217,Bubblegum Kids,Ethereum,"2,018.12 ETH","1,165.66 ETH",0.075 ETH,0.1627 ETH,,"10,000","3,568"
218,THE SECRET SOCIETY XX,Ethereum,"2,017.88 ETH",154.79 ETH,0.01 ETH,0.418 ETH,,"6,666","2,713"
219,Small Bros,Ethereum,"2,006.38 ETH",484.97 ETH,0.042 ETH,0.1624 ETH,,"8,888","5,715"
220,Chibi Dinos,Ethereum,"1,996.27 ETH","1,313.01 ETH",0.125 ETH,0.1309 ETH,,"10,000","3,197"
221,basis.markets,Solana,"57,564.46 SOL",0 SOL,80 SOL,72.41 SOL,,4,1
222,Super Ordinary Villains,Ethereum,"1,985.78 ETH",493.28 ETH,0.05 ETH,0.1385 ETH,,"8,888","4,641"
223,Fly Frogs,Ethereum,"1,981.94 ETH",192.23 ETH,0.018 ETH,0.1523 ETH,,"9,999","3,920"
224,Cosmic Cats,Ethereum,"1,977.22 ETH","1,019.61 ETH",0.0949 ETH,0.1374 ETH,,"8,888","4,356"
225,Women of Crypto,Ethereum,"1,961.29 ETH",334 ETH,0.025 ETH,0.2267 ETH,,"8,888","5,047"
